

                                            RAM FATAKA CENTER                                            
                            ITEM WISE PURCHASE SUMMRY : 01/04/2026 31/03/2027                            
Company  : ALL
---------------------------------------------------------------------------------------------------------
ITEM NAME               PACKING    |   OPEING   |   PURCHASE |PUR.RETU|    SALES   |SALE RET|    CLOSING
                            ITEM WISE PURCHASE SUMMRY : 01/04/2026 31/03/2027                            
Company  : ALL
---------------------------------------------------------------------------------------------------------
ITEM NAME               PACKING    |   OPEING   |   PURCHASE |PUR.RETU|    SALES   |SALE RET|    CLOSING
---------------------------------------------------------------------------------------------------------
223- 10 CM GREEN CLASSIC PKT       |    0      0|    0      0|  0    0|   60      0|  0    0|  -60      0
224- 10 CM RED CLASSIC(5 PKT       |    0      0|    0      0|  0    0|   60      0|  0    0|  -60      0
225- 10 CM 2 IN 1 CLASSICPKT       |    0      0|    0      0|  0    0|  690      0|  0    0| -690      0
226- 12 CM PLAIN LX CLASSPKT       |    0      0|    0      0|  0    0|  200      0|  0    0| -200      0
227- 12 CM COL LX CLASSICPKT       |    0      0|    0      0|  0    0|  250      0|  0    0| -250      0
228- 12 CM PLAIN DLX CLASPKT       |    0      0|    0      0|  0    0|  100      0|  0    0| -100      0
229- 12 CM COL DLX CLASSIPKT       |    0      0|    0      0|  0    0|  100      0|  0    0| -100      0
230- 12 CM GREEN LX CLASSPKT       |    0      0|    0      0|  0    0|  100      0|  0    0| -100      0
231- 12 CM RED LX CLASSICPKT       |    0      0|    0      0|  0    0|  100      0|  0    0| -100      0
232- 12 CM 2 IN 1 CLASSICPKT       |    0      0|    0      0|  0    0|  280      0|  0    0| -280      0
234- 12 CM  5 IN 1(GIFT BPKT       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
235- 15 CM PLAIN AB MAGICPKT       |    0      0|    0      0|  0    0|  440      0|  0    0| -440      0
236- 15 CM PLAIN DLX CLASPKT       |    0      0|    0      0|  0    0|  155      0|  0    0| -155      0
237- 15 CM PLAIN BOXE(2P PKT       |    0      0|    0      0|  0    0|   30      0|  0    0|  -30      0
238- 15 CM COL AB MAGIC CPKT       |    0      0|    0      0|  0    0|  390      0|  0    0| -390      0
239- 15 CM COL DLX CLASSIPKT       |    0      0|    0      0|  0    0|  110      0|  0    0| -110      0
240- 15 CM COL BOXE(2P CEPKT       |    0      0|    0      0|  0    0|   30      0|  0    0|  -30      0
241- 15 CM GREEN CLASSIC PKT       |    0      0|    0      0|  0    0|  375      0|  0    0| -375      0
242- 15 CM RED CLASSIC  (PKT       |    0      0|    0      0|  0    0|  275      0|  0    0| -275      0
243- 15 CM 2 IN 1 CLASSICPKT       |    0      0|    0      0|  0    0|  500      0|  0    0| -500      0
245- 15 CM 2IN1 BOXE(2P CPKT       |    0      0|    0      0|  0    0|   45      0|  0    0|  -45      0
247- 15 CM SKY PARK (GIFTPKT       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
248- 30 CM PLAIN AB MAGICPKT       |    0      0|    0      0|  0    0|  380      0|  0    0| -380      0
250- 30 CM PLAIN BOXE(2P PKT       |    0      0|    0      0|  0    0|   40      0|  0    0|  -40      0
251- 30 CM COL AB MAGIC CPKT       |    0      0|    0      0|  0    0|  330      0|  0    0| -330      0
252- 30 CM COL DLX CLASSIPKT       |    0      0|    0      0|  0    0|   30      0|  0    0|  -30      0
253- 30 CM COL BOXE(2P CEPKT       |    0      0|    0      0|  0    0|   40      0|  0    0|  -40      0
254- 30 CM GREEN CLASSIC PKT       |    0      0|    0      0|  0    0|  200      0|  0    0| -200      0
256- 30 CM RED CLASSIC (5PKT       |    0      0|    0      0|  0    0|  200      0|  0    0| -200      0
258- 30 CM 2 IN 1 CLASSICPKT       |    0      0|    0      0|  0    0|  340      0|  0    0| -340      0
260- 30 CM  MLLENIUM MIX PKT       |    0      0|    0      0|  0    0|   19      0|  0    0|  -19      0
261- 40 CM STAR CLASSIC (PKT       |    0      0|    0      0|  0    0|    8      0|  0    0|   -8      0
262- 40 CM FISH CLASSIC (PKT       |    0      0|    0      0|  0    0|    4      0|  0    0|   -4      0
263- 40 CM LAMP  CLASSIC(PKT       |    0      0|    0      0|  0    0|    8      0|  0    0|   -8      0
264- 40 CM X-MAS CLASSIC PKT       |    0      0|    0      0|  0    0|    6      0|  0    0|   -6      0
265- 50 CM PLAIN SPL CLASPKT       |    0      0|    0      0|  0    0|   13      0|  0    0|  -13      0
266- 50 CM COL SPL CLASSIPKT       |    0      0|    0      0|  0    0|   12      0|  0    0|  -12      0
267- 50 CM PLAIN PIPE CLAPKT       |    0      0|    0      0|  0    0|   15      0|  0    0|  -15      0
268- 50 CM COL PIPE CLASSPKT       |    0      0|    0      0|  0    0|   15      0|  0    0|  -15      0
272- 100 CM COL PIPE CLASPKT       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
283- 15 CM PLAIN ASOK ( 2PKT       |    0      0|    0      0|  0    0|    1      0|  0    0|   -1      0
287- DANCING UMRELA OWL  PKT       |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
288- SPINNIG SPARKLERS KAPKT       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
290- 10 CHORASA MUNNA DURBUNDLE    |    0      0|    0      0|  0    0|    7      0|  0    0|   -7      0
293- 16 CHORSA B GROUP (5PKT       |    0      0|    0      0|  0    0|  200      0|  0    0| -200      0
294- 28 CHORSA K.R.K (50PPKT       |    0      0|    0      0|  0    0|  850      0|  0    0| -850      0
295- 28 CHORSA TAJ  T/MEEPKT       |    0      0|    0      0|  0    0|   50      0|  0    0|  -50      0
296- 28 CHORSA TURKEY  RAPKT       |    0      0|    0      0|  0    0|  150      0|  0    0| -150      0
297- 28 CHORSA (25PCS) VEPKT       |    0      0|    0      0|  0    0|   50      0|  0    0|  -50      0
301- 28 GAINT CHORSA (25 PKT       |    0      0|    0      0|  0    0|  550      0|  0    0| -550      0
302- 28 GAINT CHORSA (25 PKT       |    0      0|    0      0|  0    0|   50      0|  0    0|  -50      0
303- 28 GAINT CHORSA (25 PKT       |    0      0|    0      0|  0    0|  125      0|  0    0| -125      0
308- 20 DLX KING GANESH DPKT       |    0      0|    0      0|  0    0|  200      0|  0    0| -200      0
310- 24 DLX RAGURAM ( 10 PKT       |    0      0|    0      0|  0    0|  320      0|  0    0| -320      0
311- 24 DLX GANESH DURAI(PKT       |    0      0|    0      0|  0    0|   50      0|  0    0|  -50      0
---------------------------------------------------------------------------------------------------------
                                            RAM FATAKA CENTER                                            
                            ITEM WISE PURCHASE SUMMRY : 01/04/2026 31/03/2027                            
Company  : ALL
---------------------------------------------------------------------------------------------------------
ITEM NAME               PACKING    |   OPEING   |   PURCHASE |PUR.RETU|    SALES   |SALE RET|    CLOSING
---------------------------------------------------------------------------------------------------------
312- 24 DLX COCK (10P)   BOX       |    0      0|    0      0|  0    0|   30      0|  0    0|  -30      0
313- 28 DLX RAGURAM(10 P)PKT       |    0      0|    0      0|  0    0|  100      0|  0    0| -100      0
316- 50 DLX RAGURAM ( 5 PPKT       |    0      0|    0      0|  0    0|  200      0|  0    0| -200      0
321- 4' 24 DLX THE WASP BPKT       |    0      0|    0      0|  0    0|   70      0|  0    0|  -70      0
322- 4' 32 DLX THE G ROOTPKT       |    0      0|    0      0|  0    0|   50      0|  0    0|  -50      0
323- 4' 40 DLX DOCTER STRPKT       |    0      0|    0      0|  0    0|   50      0|  0    0|  -50      0
324- 4' 50 DLX THE MARVELPKT       |    0      0|    0      0|  0    0|   80      0|  0    0|  -80      0
325- 4' 80 DLX GUARDIANS PKT       |    0      0|    0      0|  0    0|    3      0|  0    0|   -3      0
326- 4' 100 DLX LOVE AND PKT       |    0      0|    0      0|  0    0|    5      0|  0    0|   -5      0
330- 2 3/4 KURVI DURGESH PKT       |    0      0|    0      0|  0    0|  500      0|  0    0| -500      0
331- 2 3/4 KURVI VELVAN (PKT       |    0      0|    0      0|  0    0|  150      0|  0    0| -150      0
332- 2 3/4 KURVI GEMS (25PKT       |    0      0|    0      0|  0    0|  300      0|  0    0| -300      0
334- 2 3/4 KURVI AYYANAR PKT       |    0      0|    0      0|  0    0|  250      0|  0    0| -250      0
337- 3 1/2 BEN TEN DURGESPKT       |    0      0|    0      0|  0    0|  120      0|  0    0| -120      0
338- 3 1/2 JOKER SADA BAJPKT       |    0      0|    0      0|  0    0|  630      0|  0    0| -630      0
339- 3 1/2 MIX LABEL SADAPKT       |    0      0|    0      0|  0    0|  380      0|  0    0| -380      0
